Date,Comp,Venue,Result,GF,GA,xG,xGA,Poss,Opponent,Team,Season,GoalDiff,xGDiff,Outcome
2025-03-30,La Liga,Home,D,0.0,0.0,0.7,0.4,61.0,Osasuna,Athletic-Club-Bilbao,2024-2025,0.0,0.29999999999999993,Draw
2025-04-06,La Liga,Away,D,0.0,0.0,0.8,2.1,44.0,Villarreal,Athletic-Club-Bilbao,2024-2025,0.0,-1.3,Draw
2025-04-10,Europa Lg,Away,D,0.0,0.0,2.3,0.2,71.0,sct Rangers,Athletic-Club-Bilbao,2024-2025,0.0,2.0999999999999996,Draw
2025-04-13,La Liga,Home,W,3.0,1.0,1.6,1.6,54.0,Rayo Vallecano,Athletic-Club-Bilbao,2024-2025,2.0,0.0,Win
2025-04-17,Europa Lg,Home,W,2.0,0.0,2.6,0.5,56.0,sct Rangers,Athletic-Club-Bilbao,2024-2025,2.0,2.1,Win
2025-04-20,La Liga,Away,L,0.0,1.0,0.2,1.5,27.0,Real Madrid,Athletic-Club-Bilbao,2024-2025,-1.0,-1.3,Loss
2025-04-23,La Liga,Home,W,1.0,0.0,2.1,1.0,50.0,Las Palmas,Athletic-Club-Bilbao,2024-2025,1.0,1.1,Win
2025-05-01,Europa Lg,Home,L,0.0,3.0,1.1,2.5,28.0,eng Manchester Utd,Athletic-Club-Bilbao,2024-2025,-3.0,-1.4,Loss
2025-05-04,La Liga,Away,D,0.0,0.0,0.2,0.9,41.0,Real Sociedad,Athletic-Club-Bilbao,2024-2025,0.0,-0.7,Draw
2025-05-08,Europa Lg,Away,L,1.0,4.0,0.8,2.2,49.0,eng Manchester Utd,Athletic-Club-Bilbao,2024-2025,-3.0,-1.4000000000000001,Loss
2025-05-11,La Liga,Home,W,1.0,0.0,1.3,0.4,59.0,Alavés,Athletic-Club-Bilbao,2024-2025,1.0,0.9,Win
2025-05-15,La Liga,Away,W,2.0,0.0,1.2,0.4,65.0,Getafe,Athletic-Club-Bilbao,2024-2025,2.0,0.7999999999999999,Win
2025-05-18,La Liga,Away,W,1.0,0.0,1.1,0.4,45.0,Valencia,Athletic-Club-Bilbao,2024-2025,1.0,0.7000000000000001,Win
2025-05-25,La Liga,Home,L,0.0,3.0,1.2,3.5,25.0,Barcelona,Athletic-Club-Bilbao,2024-2025,-3.0,-2.3,Loss
